Amino Acid,Mass,Surface,Volume,Solubility in Water
A,71.09,115,88.6,16.65
R,156.19,225,173.4,15
D,114.11,150,111.1,0.778
N,115.09,160,114.1,3.53
C,103.15,135,108.5,HIGH
E,129.12,190,138.4,0.864
Q,128.14,180,143.8,2.5
G,57.05,75,60.1,24.99
H,137.14,195,153.2,4.19
I,113.16,175,166.7,4.117
L,113.16,170,166.7,2.426
K,128.17,200,168.6,HIGH
M,131.19,185,162.9,3.381
F,147.18,210,189.9,2.965
P,97.12,145,112.7,162.3
S,87.08,115,89,5.023
T,101.11,140,116.1,HIGH
W,186.12,255,227.8,1.136
Y,163.18,230,193.6,0.0453
V,99.14,155,140,8.85
X,0,0,0,0
